HASC_1,gouvernorat,IDR
TN.AN,Ariana,669423
TN.BJ,Beja,308293
TN.BA,Ben Arous,717462
TN.BZ,Bizerta,598208
TN.GB,Gabès,405489
TN.GF,Gafsa,354604
TN.JE,Jendouba,404853
TN.KR,Kairouan,600345
TN.KS,Kasserine,464126
TN.KB,Kebili,170803
TN.KF,Kef,247382
TN.MH,Mahdia,446494
TN.MN,Manouba,424139
TN.ME,Medenine,520069
TN.MS,Monastir,607845
TN.NB,Nabeul,868821
TN.SF,Sfax,1024561
TN.SZ,Sidi Bouzid,458232
TN.SL,Siliana,228842
TN.SS,Sousse,749657
TN.TA,Tataouine,151831
TN.TO,Tozeur,115881
TN.TU,Tunis,1075837
TN.ZA,Zaghouan,190391


