HASC_1,gouvernorat,IDR,tourisme,Météo du jour,Météo du nuit
TN.AN,Ariana,669423,2500000,24.8,15.8
TN.BJ,Beja,308293,1900000,25.3,15.3
TN.BA,Ben Arous,717462,1000000,25.1,15.1
TN.BZ,Bizerta,598208,25227600,25,16
TN.GB,GabÃ¨s,405489,9715620,26.3,16.3
TN.GF,Gafsa,354604,14400621,26.2,15.2
TN.JE,Jendouba,404853,2300000,22.6,15.6
TN.KR,Kairouan,600345,18000000,25.6,15.6
TN.KS,Kasserine,464126,2000000,24.2,17.2
TN.KB,Kebili,170803,2990000,27,17
TN.KF,Kef,247382,2842800,23.2,18.2
TN.MH,Mahdia,446494,14716580,24.4,15.4
TN.MN,Manouba,424139,1976120,25.1,15.1
TN.ME,Medenine,520069,24157830,26.3,16.3
TN.MS,Monastir,607845,45640695,24.6,17.6
TN.NB,Nabeul,868821,21632384,25.8,16.8
TN.SF,Sfax,1024561,62648560,24.3,15.3
TN.SZ,Sidi Bouzid,458232,1650200,26.6,17.6
TN.SL,Siliana,228842,5674320,23.7,16.7
TN.SS,Sousse,749657,60762340,24.9,15.9
TN.TA,Tataouine,151831,17460000,28.6,16.6
TN.TO,Tozeur,115881,2110000,29.3,17.3
TN.TU,Tunis,1075837,116972766,24.7,17.7
TN.ZA,Zaghouan,190391,7650000,24,18
